lich_su_id,user_id,book_id,ngay_bat_dau,ngay_ket_thuc,diem_danh_gia,review_text,trang_thai,phan_tram_hoan_thanh,sentiment,reading_id,so_trang_doc,thoi_gian_doc_phut
1.0,5,36,2024-12-18,2024-12-24,1.0,Nội dung yếu,Bỏ dở,83.0,Negative,,,
2.0,10,35,2024-12-13,2024-12-17,2.0,Không hay lắm,Chưa bắt đầu,98.0,Negative,,,
3.0,2,3,2024-03-13,2024-03-16,1.0,Nội dung yếu,Chưa bắt đầu,52.0,Negative,,,
4.0,2,24,2024-11-12,2024-11-18,1.0,Nội dung yếu,Chưa bắt đầu,23.0,Negative,,,
5.0,2,41,2024-12-11,2024-12-15,5.0,Rất hay,Chưa bắt đầu,27.0,Positive,,,
6.0,1,25,2024-03-10,2024-03-14,1.0,Hơi chán,Đã đọc xong,83.0,Negative,,,
7.0,3,18,2024-04-07,2024-04-13,1.0,Nội dung yếu,Chưa bắt đầu,41.0,Negative,,,
8.0,6,2,2024-07-02,2024-07-07,2.0,Hơi chán,Chưa bắt đầu,64.0,Negative,,,
9.0,9,37,2024-05-19,2024-05-22,2.0,Không hay lắm,Bỏ dở,38.0,Negative,,,
10.0,1,21,2024-12-10,2024-12-18,4.0,Rất hay,Đã đọc xong,83.0,Positive,,,
11.0,7,27,2024-12-15,2024-12-24,1.0,Không hay lắm,Đã đọc xong,79.0,Negative,,,
12.0,1,44,2024-06-07,2024-06-15,4.0,Rất hay,Chưa bắt đầu,43.0,Positive,,,
13.0,10,17,2024-06-17,2024-06-26,2.0,Không hay lắm,Đã đọc xong,100.0,Negative,,,
14.0,8,23,2024-09-19,2024-09-29,3.0,Ổn áp,Đã đọc xong,43.0,Positive,,,
15.0,6,48,2024-01-13,2024-01-17,4.0,Rất hay,Bỏ dở,73.0,Positive,,,
16.0,2,37,2024-07-04,2024-07-07,3.0,Ổn áp,Bỏ dở,84.0,Negative,,,
17.0,3,30,2024-11-18,2024-11-28,5.0,Rất hay,Đang đọc,81.0,Positive,,,
18.0,9,34,2024-05-08,2024-05-14,1.0,Không hay lắm,Bỏ dở,92.0,Negative,,,
19.0,5,26,2024-01-16,2024-01-20,2.0,Không hay lắm,Bỏ dở,76.0,Negative,,,
20.0,1,31,2024-07-10,2024-07-14,2.0,Nội dung yếu,Đã đọc xong,62.0,Negative,,,
21.0,8,21,2024-01-06,2024-01-16,2.0,Hơi chán,Đang đọc,67.0,Negative,,,
22.0,7,23,2024-04-18,2024-04-21,3.0,Ổn áp,Đang đọc,53.0,Negative,,,
23.0,6,30,2024-03-18,2024-03-26,5.0,Rất hay,Chưa bắt đầu,25.0,Positive,,,
24.0,8,44,2024-04-14,2024-04-22,3.0,Ổn áp,Bỏ dở,100.0,Positive,,,
25.0,10,36,2024-11-07,2024-11-13,4.0,Cực kỳ cuốn hút,Chưa bắt đầu,52.0,Positive,,,
26.0,6,22,2024-09-05,2024-09-14,4.0,Đáng đọc,Đã đọc xong,38.0,Positive,,,
27.0,8,23,2024-05-19,2024-05-25,5.0,Đáng đọc,Đã đọc xong,28.0,Positive,,,
28.0,6,10,2024-06-04,2024-06-14,2.0,Không hay lắm,Đang đọc,94.0,Negative,,,
29.0,8,27,2024-06-17,2024-06-23,1.0,Hơi chán,Bỏ dở,69.0,Negative,,,
30.0,9,48,2024-08-14,2024-08-19,3.0,Ổn áp,Đã đọc xong,43.0,Negative,,,
31.0,10,48,2024-03-02,2024-03-06,4.0,Cực kỳ cuốn hút,Chưa bắt đầu,54.0,Positive,,,
32.0,3,37,2024-02-09,2024-02-14,3.0,Ổn áp,Đang đọc,32.0,Positive,,,
33.0,9,29,2024-01-03,2024-01-07,4.0,Rất hay,Đã đọc xong,70.0,Positive,,,
34.0,4,41,2024-12-07,2024-12-14,4.0,Rất hay,Đã đọc xong,53.0,Positive,,,
35.0,9,50,2024-10-03,2024-10-13,3.0,Ổn áp,Chưa bắt đầu,43.0,Positive,,,
36.0,2,46,2024-08-17,2024-08-21,3.0,Ổn áp,Đã đọc xong,18.0,Positive,,,
37.0,7,30,2024-04-06,2024-04-14,2.0,Hơi chán,Bỏ dở,48.0,Negative,,,
38.0,2,25,2024-08-10,2024-08-20,5.0,Cực kỳ cuốn hút,Chưa bắt đầu,20.0,Positive,,,
39.0,5,11,2024-08-09,2024-08-12,3.0,Ổn áp,Bỏ dở,31.0,Positive,,,
40.0,6,33,2024-08-13,2024-08-21,2.0,Nội dung yếu,Chưa bắt đầu,13.0,Negative,,,
41.0,4,13,2024-04-02,2024-04-11,2.0,Hơi chán,Bỏ dở,54.0,Negative,,,
42.0,8,14,2024-08-14,2024-08-17,4.0,Cực kỳ cuốn hút,Chưa bắt đầu,64.0,Positive,,,
43.0,4,13,2024-07-13,2024-07-17,3.0,Ổn áp,Đang đọc,82.0,Negative,,,
44.0,3,26,2024-12-04,2024-12-11,4.0,Đáng đọc,Đang đọc,39.0,Positive,,,
45.0,10,31,2024-06-18,2024-06-23,3.0,Ổn áp,Chưa bắt đầu,25.0,Negative,,,
