session_id,user_id,book_id,ngay,gio_bat_dau,gio_ket_thuc,thoi_gian_doc_phut,so_trang_da_doc
1,103,15,2024-02-01,18:00,19:00,11,5
2,436,43,2024-02-01,18:00,19:00,29,8
3,349,29,2024-02-01,18:00,19:00,59,14
4,271,36,2024-02-01,18:00,19:00,42,20
5,107,13,2024-02-01,18:00,19:00,57,16
6,72,32,2024-02-01,18:00,19:00,40,30
7,189,71,2024-02-01,18:00,19:00,59,23
8,21,59,2024-02-01,18:00,19:00,27,10
9,103,86,2024-02-01,18:00,19:00,21,14
10,122,28,2024-02-01,18:00,19:00,36,11
11,467,66,2024-02-01,18:00,19:00,26,14
12,215,42,2024-02-01,18:00,19:00,31,20
13,331,45,2024-02-01,18:00,19:00,17,23
14,459,62,2024-02-01,18:00,19:00,60,15
15,88,57,2024-02-01,18:00,19:00,59,30
16,373,6,2024-02-01,18:00,19:00,34,23
17,100,28,2024-02-01,18:00,19:00,11,17
18,360,28,2024-02-01,18:00,19:00,23,12
19,152,44,2024-02-01,18:00,19:00,11,6
20,131,84,2024-02-01,18:00,19:00,59,12
21,150,30,2024-02-01,18:00,19:00,58,18
22,309,62,2024-02-01,18:00,19:00,39,22
23,258,75,2024-02-01,18:00,19:00,37,14
24,344,92,2024-02-01,18:00,19:00,60,25
25,492,89,2024-02-01,18:00,19:00,34,14
26,414,62,2024-02-01,18:00,19:00,12,14
27,294,97,2024-02-01,18:00,19:00,22,12
28,386,1,2024-02-01,18:00,19:00,24,25
29,192,27,2024-02-01,18:00,19:00,22,13
30,444,62,2024-02-01,18:00,19:00,59,18
31,277,77,2024-02-01,18:00,19:00,26,12
32,161,3,2024-02-01,18:00,19:00,18,10
33,460,70,2024-02-01,18:00,19:00,37,16
34,314,72,2024-02-01,18:00,19:00,14,29
35,22,27,2024-02-01,18:00,19:00,36,20
36,253,9,2024-02-01,18:00,19:00,27,16
37,236,62,2024-02-01,18:00,19:00,30,16
38,345,37,2024-02-01,18:00,19:00,38,15
39,49,97,2024-02-01,18:00,19:00,12,15
40,475,51,2024-02-01,18:00,19:00,60,13
41,59,44,2024-02-01,18:00,19:00,23,23
42,170,24,2024-02-01,18:00,19:00,32,19
43,476,79,2024-02-01,18:00,19:00,25,27
44,188,59,2024-02-01,18:00,19:00,40,28
45,464,32,2024-02-01,18:00,19:00,15,5
46,271,96,2024-02-01,18:00,19:00,54,26
47,190,88,2024-02-01,18:00,19:00,57,11
48,446,52,2024-02-01,18:00,19:00,53,29
49,175,62,2024-02-01,18:00,19:00,11,22
50,446,58,2024-02-01,18:00,19:00,55,26
51,51,52,2022-11-19,08:00,09:00,14,27
52,364,12,2022-10-19,12:00,13:00,20,18
53,55,39,2022-07-23,11:00,12:00,46,16
54,244,2,2022-02-24,10:00,11:00,31,7
55,320,3,2022-10-17,15:00,16:00,43,7
56,131,56,2022-01-18,20:00,21:00,16,7
57,485,81,2022-04-12,18:00,19:00,36,19
58,307,59,2022-01-19,10:00,11:00,44,13
59,135,2,2022-07-02,09:00,10:00,37,6
60,21,2,2022-01-11,11:00,12:00,55,30
61,329,92,2022-11-25,21:00,22:00,37,21
62,167,54,2022-08-15,16:00,17:00,41,12
63,274,87,2022-04-03,15:00,16:00,60,29
64,388,96,2022-01-21,14:00,15:00,60,13
65,89,97,2022-05-09,08:00,09:00,54,30
66,316,1,2022-12-06,21:00,22:00,58,25
67,14,19,2022-12-01,19:00,20:00,50,17
68,242,2,2022-09-10,08:00,09:00,23,28
69,265,53,2022-07-10,07:00,08:00,60,8
70,346,44,2022-08-23,18:00,19:00,21,19
71,53,90,2022-08-16,09:00,10:00,29,15
72,386,32,2022-04-06,21:00,22:00,36,26
73,340,70,2022-06-09,12:00,13:00,44,26
74,92,32,2022-05-18,09:00,10:00,22,15
75,367,68,2022-09-20,15:00,16:00,22,19
76,444,55,2022-01-02,08:00,09:00,21,8
77,455,75,2022-10-05,11:00,12:00,53,7
78,428,56,2022-02-09,11:00,12:00,44,5
79,264,17,2022-09-04,16:00,17:00,24,27
80,431,38,2022-08-12,17:00,18:00,33,7
81,35,24,2022-12-15,09:00,10:00,50,5
82,206,69,2022-12-22,20:00,21:00,26,26
83,81,98,2022-06-09,15:00,16:00,17,6
84,420,70,2022-05-08,14:00,15:00,22,12
85,50,86,2022-02-16,11:00,12:00,36,14
86,360,11,2022-09-06,21:00,22:00,44,30
87,388,16,2022-04-12,13:00,14:00,57,23
88,2,97,2022-12-06,09:00,10:00,45,8
89,390,73,2022-12-23,13:00,14:00,11,24
90,54,59,2022-01-14,12:00,13:00,12,25
91,106,70,2022-10-13,20:00,21:00,31,7
92,260,80,2022-12-02,19:00,20:00,31,11
93,310,93,2022-02-05,15:00,16:00,40,13
94,477,3,2022-05-21,07:00,08:00,33,9
95,191,20,2022-06-18,19:00,20:00,23,12
96,402,59,2022-05-19,17:00,18:00,39,12
97,218,36,2022-07-10,19:00,20:00,18,15
98,44,19,2022-08-09,14:00,15:00,32,9
99,162,90,2022-01-11,15:00,16:00,12,8
100,202,67,2022-02-04,08:00,09:00,22,5
101,446,19,2023-03-17,16:00,17:00,23,25
102,484,20,2023-03-22,16:00,17:00,36,16
103,270,96,2023-02-11,20:00,21:00,19,26
104,351,71,2023-03-08,15:00,16:00,37,21
105,304,52,2023-08-19,10:00,11:00,45,24
106,271,33,2023-07-23,13:00,14:00,42,11
107,456,40,2023-08-04,16:00,17:00,28,28
108,462,39,2023-04-22,07:00,08:00,39,12
109,215,82,2023-05-09,09:00,10:00,33,24
110,252,1,2023-11-01,20:00,21:00,30,20
111,190,11,2023-02-15,09:00,10:00,35,13
112,296,92,2023-10-17,20:00,21:00,29,20
113,213,57,2023-08-12,17:00,18:00,38,29
114,208,89,2023-10-17,14:00,15:00,48,7
115,237,50,2023-01-03,20:00,21:00,18,27
116,338,23,2023-08-11,21:00,22:00,46,11
117,367,31,2023-10-12,20:00,21:00,45,25
118,53,94,2023-01-21,21:00,22:00,59,11
119,280,42,2023-01-20,17:00,18:00,40,9
120,410,99,2023-10-11,11:00,12:00,44,27
121,217,7,2023-12-06,17:00,18:00,14,28
122,252,16,2023-09-24,18:00,19:00,55,25
123,188,90,2023-06-15,17:00,18:00,26,16
124,380,60,2023-04-20,16:00,17:00,10,27
125,493,2,2023-02-16,13:00,14:00,13,13
126,41,1,2023-02-02,07:00,08:00,43,16
