user_id,book_id,ten_sach,the_loai,final_score
1,51,Trăm Năm Cô Đơn,Literature,0.8176666666666667
1,34,Outliers,Literature,0.8112222222222223
1,83,Hooked,Literature,0.807
1,81,The Lean Startup,Literature,0.8051111111111112
1,79,Điểm Hẹn,Literature,0.758
2,18,Số Đỏ,Classic,0.8555555555555555
2,31,Lịch Sử Loài Người,Classic,0.808888888888889
2,52,Tình Yêu Thời Thổ Tả,Classic,0.8005555555555556
2,72,Demon Slayer,Classic,0.783888888888889
2,50,Germinal,Classic,0.7423333333333333
3,52,Tình Yêu Thời Thổ Tả,Classic,0.9005555555555556
3,8,Naruto,Classic,0.8388888888888888
3,24,Good to Great,Classic,0.8245555555555556
3,4,Atomic Habits,Classic,0.816894271056014
3,72,Demon Slayer,Classic,0.783888888888889
4,59,Make Your Bed,Business,0.8463333333333333
4,85,Continuous Discovery,Business,0.8222222222222222
4,66,Sách Trắng Tài Chính,Business,0.8051111111111112
4,97,Mắt Biếc,Business,0.8043333333333333
4,54,Ficciones,Business,0.7954444444444444
5,66,Sách Trắng Tài Chính,Business,0.8651221115744103
5,59,Make Your Bed,Business,0.8463333333333333
5,85,Continuous Discovery,Business,0.8222222222222222
5,21,Rich Dad Poor Dad,Business,0.8093333333333332
5,97,Mắt Biếc,Business,0.8043333333333333
6,66,Sách Trắng Tài Chính,Business,0.8651084833612742
6,59,Make Your Bed,Business,0.8463333333333333
6,85,Continuous Discovery,Business,0.8222222222222222
6,97,Mắt Biếc,Business,0.8043333333333333
6,54,Ficciones,Business,0.7954444444444444
7,73,My Hero Academia,Fantasy,0.8757082688459561
7,68,Bitcoin & Blockchain,Fantasy,0.8692638244015116
7,67,Đầu Tư Chứng Khoán,Fantasy,0.8568571428571429
7,56,The Power of Habit,Fantasy,0.8473333333333334
7,94,Measure What Matters,Fantasy,0.7858888888888889
8,59,Make Your Bed,Business,0.8463333333333333
8,11,Harry Potter,Business,0.8222301513879038
8,85,Continuous Discovery,Business,0.8222222222222222
8,66,Sách Trắng Tài Chính,Business,0.8051111111111112
8,97,Mắt Biếc,Business,0.8043333333333333
9,66,Sách Trắng Tài Chính,Business,0.8651082592010441
9,59,Make Your Bed,Business,0.8463333333333333
9,85,Continuous Discovery,Business,0.8222222222222222
9,21,Rich Dad Poor Dad,Business,0.8093333333333332
9,97,Mắt Biếc,Business,0.8043333333333333
10,52,Tình Yêu Thời Thổ Tả,Classic,0.8005555555555556
10,72,Demon Slayer,Classic,0.783888888888889
10,4,Atomic Habits,Classic,0.766888888888889
10,37,Pride and Prejudice,Classic,0.754
10,50,Germinal,Classic,0.7423333333333333
11,17,Quê Hương Tuổi Thơ,Fantasy,0.8924420639808219
11,68,Bitcoin & Blockchain,Fantasy,0.8864515067099649
11,56,The Power of Habit,Fantasy,0.8473333333333334
11,12,The Hobbit,Fantasy,0.8167777777777778
11,67,Đầu Tư Chứng Khoán,Fantasy,0.8140000000000001
12,29,The Girl on the Train,Self-help,0.8444444444444444
12,40,Great Expectations,Self-help,0.8416666666666667
12,87,Ngàn Mặt Trời Rực Rỡ,Self-help,0.8106666666666668
12,6,Doraemon,Self-help,0.8001111111111112
12,64,Lão Hạc,Self-help,0.7969439967327377
13,30,Big Little Lies,History,0.8190000000000001
13,95,Radical Candor,History,0.808888888888889
13,7,One Piece,History,0.8046666666666666
13,14,Dune,History,0.7816666666666667
13,69,Tự Do Tài Chính,History,0.7784444444444445
14,29,The Girl on the Train,Self-help,0.8444444444444444
14,40,Great Expectations,Self-help,0.8416666666666667
14,58,Essentialism,Self-help,0.8144444444444445
14,87,Ngàn Mặt Trời Rực Rỡ,Self-help,0.8106666666666668
14,47,Ba Chàng Lính Ngự Lâm,Self-help,0.8014444444444445
15,51,Trăm Năm Cô Đơn,Literature,0.8176666666666667
15,34,Outliers,Literature,0.8112222222222223
15,83,Hooked,Literature,0.807
15,81,The Lean Startup,Literature,0.8051111111111112
15,49,Madame Bovary,Literature,0.8018888888888889
16,21,Rich Dad Poor Dad,Business,0.889364553200241
16,59,Make Your Bed,Business,0.8463333333333333
16,85,Continuous Discovery,Business,0.8222222222222222
16,44,Sức Mạnh Hiện Tại,Business,0.808888888888889
16,66,Sách Trắng Tài Chính,Business,0.8051111111111112
17,59,Make Your Bed,Business,0.8463333333333333
17,85,Continuous Discovery,Business,0.8222222222222222
17,21,Rich Dad Poor Dad,Business,0.8093333333333332
17,44,Sức Mạnh Hiện Tại,Business,0.808888888888889
17,66,Sách Trắng Tài Chính,Business,0.8051111111111112
18,17,Quê Hương Tuổi Thơ,Fantasy,0.8699442231100567
18,12,The Hobbit,Fantasy,0.8667877079053018
18,56,The Power of Habit,Fantasy,0.8473333333333334
18,68,Bitcoin & Blockchain,Fantasy,0.8264444444444445
18,67,Đầu Tư Chứng Khoán,Fantasy,0.8140000000000001
19,59,Make Your Bed,Business,0.8463333333333333
19,21,Rich Dad Poor Dad,Business,0.8093333333333332
19,44,Sức Mạnh Hiện Tại,Business,0.808888888888889
19,66,Sách Trắng Tài Chính,Business,0.8051111111111112
19,54,Ficciones,Business,0.7954444444444444
20,52,Tình Yêu Thời Thổ Tả,Classic,0.8805395491190436
20,18,Số Đỏ,Classic,0.8555555555555555
20,8,Naruto,Classic,0.8388888888888888
20,24,Good to Great,Classic,0.8245555555555556
20,72,Demon Slayer,Classic,0.783888888888889
21,8,Naruto,Classic,0.9388888888888888
21,18,Số Đỏ,Classic,0.8555555555555555
21,72,Demon Slayer,Classic,0.8410287913805962
21,52,Tình Yêu Thời Thổ Tả,Classic,0.8005555555555556
21,4,Atomic Habits,Classic,0.766888888888889
22,29,The Girl on the Train,Self-help,0.8444444444444444
22,40,Great Expectations,Self-help,0.8416666666666667
22,58,Essentialism,Self-help,0.8144444444444445
22,87,Ngàn Mặt Trời Rực Rỡ,Self-help,0.8106666666666668
22,47,Ba Chàng Lính Ngự Lâm,Self-help,0.8014444444444445
23,40,Great Expectations,Self-help,0.8416666666666667
23,98,Tôi Thấy Hoa Vàng,Self-help,0.8331171803713797
23,58,Essentialism,Self-help,0.8144444444444445
23,87,Ngàn Mặt Trời Rực Rỡ,Self-help,0.8106666666666668
23,47,Ba Chàng Lính Ngự Lâm,Self-help,0.8014444444444445
24,14,Dune,History,0.8192177781442513
24,30,Big Little Lies,History,0.8190000000000001
24,7,One Piece,History,0.8046666666666666
24,78,Thiên Thần Và Ác Quỷ,History,0.8001111111111112
24,69,Tự Do Tài Chính,History,0.7784444444444445
25,34,Outliers,Literature,0.8112222222222223
25,83,Hooked,Literature,0.807
25,39,Wuthering Heights,Literature,0.8065555555555555
25,81,The Lean Startup,Literature,0.8051111111111112
25,49,Madame Bovary,Literature,0.8018888888888889
26,18,Số Đỏ,Classic,0.9127165575773993
26,52,Tình Yêu Thời Thổ Tả,Classic,0.9005555555555556
26,8,Naruto,Classic,0.8388888888888888
26,24,Good to Great,Classic,0.8245555555555556
26,31,Lịch Sử Loài Người,Classic,0.808888888888889
